time,date,subj,trial,game_id,cellorder,upper_left,upper_right,lower_left,lower_right,pressedkey,chosen_cells,play
1353942720.082,"2012-11-26 15:12:12",001640,6,1053,1032,"[30, 80]","[50, 50]","[20, 20]","[80, 30]",up,"1,0",NULL
1353942732.829,"2012-11-26 15:12:31",001640,7,4031,0123,"[50, 50]","[10, 80]","[80, 10]","[40, 40]",up,"0,1",NULL
1353942751.615,"2012-11-26 15:12:48",001640,8,3154,1032,"[30, 60]","[70, 70]","[60, 60]","[60, 30]",down,"3,2",NULL
1353942768.964,"2012-11-26 15:13:06",001640,9,2041,1032,"[30, 60]","[30, 30]","[40, 40]","[60, 30]",down,"3,2",NULL
1353942786.412,"2012-11-26 15:15:18",001640,10,4073,2301,"[60, 70]","[40, 40]","[50, 50]","[70, 60]",up,"2,3",NULL
1353942918.396,"2012-11-26 15:15:28",001640,11,4134,0123,"[50, 50]","[30, 20]","[20, 30]","[40, 40]",up,"0,1",NULL
1353942928.778,"2012-11-26 15:15:44",001640,12,3122,1032,"[30, 60]","[90, 90]","[20, 20]","[60, 30]",up,"1,0",NULL
1353942944.541,"2012-11-26 15:15:59",001640,13,2083,0123,"[50, 50]","[50, 60]","[60, 50]","[40, 40]",down,"2,3",NULL
1353942959.831,"2012-11-26 15:16:09",001640,14,1112,2301,"[20, 30]","[0, 0]","[50, 50]","[30, 20]",down,"0,1",NULL
1353942969.336,"2012-11-26 15:16:19",001640,15,4102,1032,"[70, 40]","[50, 50]","[40, 40]","[40, 70]",up,"1,0",NULL
1353942979.268,"2012-11-26 15:16:30",001640,16,2073,3210,"[40, 40]","[60, 70]","[70, 60]","[50, 50]",up,"3,2",NULL
1353942990.633,"2012-11-26 15:16:42",001640,17,4144,0123,"[50, 50]","[10, 20]","[20, 10]","[40, 40]",up,"0,1",NULL
1353943002.631,"2012-11-26 15:16:50",001640,18,3092,1032,"[30, 60]","[70, 70]","[20, 20]","[60, 30]",up,"1,0",NULL
1353943010.655,"2012-11-26 15:16:57",001640,19,2053,1032,"[50, 60]","[30, 30]","[40, 40]","[60, 50]",up,"1,0",NULL
1353943017.237,"2012-11-26 15:17:44",001640,20,3021,2301,"[60, 30]","[60, 60]","[50, 50]","[30, 60]",up,"2,3",NULL
1353943064.237,"2012-11-26 15:17:56",001640,21,3011,0123,"[50, 50]","[30, 60]","[60, 30]","[40, 40]",down,"2,3",NULL
1353943076.873,"2012-11-26 15:18:10",001640,22,3134,3210,"[40, 40]","[60, 30]","[30, 60]","[90, 90]",down,"1,0",NULL
1353943090.79,"2012-11-26 15:18:21",001640,23,3112,0123,"[90, 90]","[30, 60]","[60, 30]","[0, 0]",up,"0,1",NULL
