"expt","sub","trial.no","rt"
"expt 1","004128",19,12624
"expt 1","004128",20,7759
"expt 1","004128",21,17074
"expt 1","004128",22,32397
"expt 1","004128",23,25191
"expt 1","004128",24,28280
"expt 1","004128",25,57882
"expt 1","004128",26,48170
"expt 1","004128",27,17223
"expt 1","004128",28,29409
"expt 1","004128",29,20527
"expt 1","004128",30,7029
"expt 1","004128",31,13338
"expt 1","004128",32,15479
"expt 1","004128",33,14101
"expt 1","004128",34,10033
"expt 1","004128",35,10283
"expt 1","004128",36,12242
"expt 1","004128",37,8274
"expt 1","004128",38,29708
"expt 1","004128",39,24761
"expt 1","004128",40,32049
"expt 1","004128",41,11877
"expt 1","004128",42,9950
"expt 1","004128",43,13703
"expt 1","004128",44,14566
"expt 1","004128",45,27848
"expt 1","004128",46,14716
"expt 1","004128",47,10499
"expt 1","004128",48,12557
"expt 1","004128",49,7344
"expt 1","004128",50,19281
"expt 1","004128",51,7809
"expt 1","004128",52,7958
"expt 1","004128",53,6398
"expt 1","004128",54,4738
"expt 1","004128",55,7925
"expt 1","004128",56,4920
"expt 1","004128",57,21672
"expt 1","004128",58,12341
"expt 1","004128",59,6697
"expt 1","004128",60,6398
"expt 1","004128",61,19132
"expt 1","004128",62,6365
"expt 1","004128",63,30588
"expt 1","005488",0,7245
"expt 1","005488",1,8340
"expt 1","005488",2,9137
"expt 1","005488",3,5650
"expt 1","005488",4,9254
"expt 1","005488",5,4837
"expt 1","005488",6,3327
"expt 1","005488",7,5369
"expt 1","005488",8,4704
"expt 1","005488",9,9569
"expt 1","005488",10,4621
"expt 1","005488",11,2480
"expt 1","005488",12,4455
"expt 1","005488",13,4688
"expt 1","005488",14,2845
"expt 1","005488",15,6714
"expt 1","005488",16,5534
"expt 1","005488",17,2197
"expt 1","005488",18,2081
"expt 1","005488",19,2247
"expt 1","005488",20,2446
"expt 1","005488",21,5302
"expt 1","005488",22,4605
"expt 1","005488",23,3293
"expt 1","005488",24,4970
"expt 1","005488",25,2712
"expt 1","005488",26,4455
"expt 1","005488",27,3576
"expt 1","005488",28,2280
"expt 1","005488",29,2629
"expt 1","005488",30,2049
"expt 1","005488",31,3260
"expt 1","005488",32,3343
"expt 1","005488",33,3260
"expt 1","005488",34,2197
"expt 1","005488",35,5319
"expt 1","005488",36,3127
"expt 1","005488",37,3642
"expt 1","005488",38,2513
"expt 1","005488",39,1965
"expt 1","005488",40,3592
"expt 1","005488",41,2828
"expt 1","005488",42,2347
"expt 1","005488",43,3990
"expt 1","005488",44,2912
"expt 1","005488",45,2314
"expt 1","005488",46,3526
"expt 1","005488",47,1798
"expt 1","005488",48,2330
"expt 1","005488",49,1998
"expt 1","005488",50,2330
"expt 1","005488",51,2314
"expt 1","005488",52,2546
"expt 1","005488",53,2446
"expt 1","005488",54,2181
"expt 1","005488",55,2878
"expt 1","005488",56,2563
"expt 1","005488",57,2529
"expt 1","005488",58,6714
"expt 1","005488",59,4289
"expt 1","005488",60,4272
"expt 1","005488",61,8440
"expt 1","005488",62,8789
"expt 1","005488",63,9918
"expt 1","006512",0,53001
"expt 1","006512",1,24910
"expt 1","006512",2,21573
"expt 1","006512",3,14600
"expt 1","006512",4,11960
"expt 1","006512",5,22038
"expt 1","006512",6,9469
"expt 1","006512",7,6780
"expt 1","006512",8,12225
"expt 1","006512",9,20510
"expt 1","006512",10,9951
"expt 1","006512",11,12292
"expt 1","006512",12,10980
"expt 1","006512",13,17421
"expt 1","006512",14,9254
"expt 1","006512",15,9769
"expt 1","006512",16,14168
"expt 1","006512",17,10416
"expt 1","006512",18,8092
"expt 1","006512",19,9553
"expt 1","006512",20,9602
"expt 1","006512",21,9436
"expt 1","006512",22,26753
"expt 1","006512",23,13404
"expt 1","006512",24,10000
"expt 1","006512",25,22868
"expt 1","006512",26,9453
"expt 1","006512",27,6763
"expt 1","006512",28,16924
"expt 1","006512",29,11860
"expt 1","006512",30,12723
"expt 1","006512",31,9304
"expt 1","006512",32,7975
"expt 1","006512",33,8241
"expt 1","006512",34,6530
"expt 1","006512",35,6481
"expt 1","006512",36,6547
"expt 1","006512",37,10681
"expt 1","006512",38,12125
"expt 1","006512",39,16160
"expt 1","006512",40,5153
"expt 1","006512",41,4837
"expt 1","006512",42,5634
"expt 1","006512",43,5601
"expt 1","006512",44,7792
"expt 1","006512",45,8440
"expt 1","006512",46,4589
"expt 1","006512",47,6763
"expt 1","006512",48,7527
"expt 1","006512",49,6945
"expt 1","006512",50,9885
"expt 1","006512",51,7875
"expt 1","006512",52,9187
"expt 1","006512",53,6447
"expt 1","006512",54,8174
"expt 1","006512",55,4755
"expt 1","006512",56,9735
"expt 1","006512",57,7942
"expt 1","006512",58,9569
"expt 1","006512",59,9469
"expt 1","006512",60,4488
"expt 1","006512",61,8059
"expt 1","006512",62,8357
"expt 1","006512",63,4273
"expt 1","007872",0,53086
"expt 1","007872",1,31568
"expt 1","007872",2,56521
"expt 1","007872",3,72145
"expt 1","007872",4,65355
"expt 1","007872",5,43289
"expt 1","007872",6,25873
"expt 1","007872",7,33627
"expt 1","007872",8,9221
"expt 1","007872",9,12325
"expt 1","007872",10,31982
"expt 1","007872",11,14716
"expt 1","007872",12,24412
"expt 1","007872",13,20842
"expt 1","007872",14,21341
"expt 1","007872",15,20908
"expt 1","007872",16,18586
"expt 1","007872",17,7361
"expt 1","007872",18,17738
"expt 1","007872",19,27470
"expt 1","007872",20,15197
"expt 1","007872",21,18469
"expt 1","007872",22,7494
"expt 1","007872",23,4657
"expt 1","007872",24,10332
"expt 1","007872",25,17073
"expt 1","007872",26,32547
